xDId,xDNumPoints,xDUsuId,xDSdk,xDSerie,xDAndroV,xDManufact
686,3120,691,21,SM-G900V,Lollipop - 5,Samsung
692,280,697,27,SM-G610M,Oreo - 8,Samsung
322,3512,331,23,F3313,Marshmallow - 6,Sony
694,185,699,26,RNE-L23,Oreo - 8,Huawei
695,1972,700,21,ALE-L23,Lollipop - 5,Huawei
797,2451,801,23,SM-G532M,Marshmallow - 6,Samsung
697,50,702,26,ATU-LX3,Oreo - 8,Huawei
705,12104,710,26,SM-G955F,Oreo - 8,Samsung
714,2069,719,24,SM-G925I,Nougat - 7,Samsung
708,3039,713,26,ATU-LX3,Oreo - 8,Huawei
311,4351,320,23,MYA-L03,Marshmallow - 6,Huawei
650,5224,657,24,SM-G925T,Nougat - 7,Samsung
440,5772,449,24,SM-N920C,Nougat - 7,Samsung
950,2134,950,24,LG-M400,Nougat - 7,LG
720,99,725,26,SM-G950F,Oreo - 8,Samsung
721,1229,726,26,SM-G9650,Oreo - 8,Samsung
722,1212,727,27,SM-J701M,Oreo - 8,Samsung
953,1692,955,24,G3313,Nougat - 7,Sony
598,5842,605,24,F3113,Nougat - 7,Sony
726,3298,731,26,FIG-LX3,Oreo - 8,Huawei
727,308,732,26,SM-G9600,Oreo - 8,Samsung
241,2876,251,25,SM-J250M,Nougat - 7,Samsung
729,145,734,26,RNE-L23,Oreo - 8,Huawei
377,7470,386,24,G3313,Nougat - 7,Sony
509,1669,518,24,G3313,Nougat - 7,Sony
648,2931,655,25,Nexus 9,Nougat - 7,HTC
481,3960,490,23,SM-J500M,Marshmallow - 6,Samsung
735,486,740,26,SM-G935T,Oreo - 8,Samsung
537,4060,546,23,SM-G532M,Marshmallow - 6,Samsung
738,332,743,26,SM-J810M,Oreo - 8,Samsung
278,1072,287,24,SM-N920T,Nougat - 7,Samsung
740,238,745,26,ANE-LX3,Oreo - 8,Huawei
741,75,746,27,SM-J530G,Oreo - 8,Samsung
743,12270,748,22,D2305,Lollipop - 5,Sony
744,276,749,26,SM-G570M,Oreo - 8,Samsung
745,12,750,27,Redmi 6,Oreo - 8,Xiaomi
747,3555,752,22,SM-G800F,Lollipop - 5,Samsung
749,11303,754,22,SM-T285,Lollipop - 5,Samsung
751,3261,756,21,ALE-L23,Lollipop - 5,Huawei
752,1181,757,26,ANE-LX3,Oreo - 8,Huawei
769,5361,774,24,F3113,Nougat - 7,Sony
355,4071,364,23,D5803,Marshmallow - 6,Sony
755,1096,760,26,ANE-LX3,Oreo - 8,Huawei
168,2671,178,24,TRT-L53,Nougat - 7,Huawei
760,383,765,26,FLA-LX3,Oreo - 8,Huawei
761,78,766,26,ANE-LX3,Oreo - 8,Huawei
763,4,768,27,MI 8 Lite,Oreo - 8,Xiaomi
829,984,832,24,SM-G930F,Nougat - 7,Samsung
596,3093,603,23,E2306,Marshmallow - 6,Sony
768,69,773,27,MI 8 Lite,Oreo - 8,Xiaomi
170,6952,180,24,G3313,Nougat - 7,Sony
770,818,775,26,ANE-LX3,Oreo - 8,Huawei
213,4265,223,24,FRD-L09,Nougat - 7,Huawei
244,6171,254,24,SM-G610M,Nougat - 7,Samsung
831,1198,834,24,F3113,Nougat - 7,Sony
776,793,781,26,PRA-LX3,Oreo - 8,Huawei
777,2406,782,21,ALE-L23,Lollipop - 5,Huawei
779,106,784,27,SM-J730G,Oreo - 8,Samsung
196,5369,206,24,HUAWEI VNS-L31,Nougat - 7,Huawei
781,125,786,26,SM-G935F,Oreo - 8,Samsung
238,3238,248,23,D6653,Marshmallow - 6,Sony
496,3009,505,23,F3313,Marshmallow - 6,Sony
514,5205,523,24,F3113,Nougat - 7,Sony
787,1224,792,27,SNE-LX3,Oreo - 8,Huawei
347,2693,356,25,SM-J510MN,Nougat - 7,Samsung
790,413,658,26,ANE-LX3,Oreo - 8,Huawei
773,5316,778,24,F3113,Nougat - 7,Sony
792,487,796,26,SM-G9600,Oreo - 8,Samsung
753,3346,758,24,Alcatel_5044R,Nougat - 7,Alcatel
612,6590,619,23,SM-J106B,Marshmallow - 6,Samsung
174,10800,184,24,SM-A310F,Nougat - 7,Samsung
294,3760,303,23,E6553,Marshmallow - 6,Sony
799,1703,803,21,SM-G900V,Lollipop - 5,Samsung
754,8042,759,23,SM-G532M,Marshmallow - 6,Samsung
465,16336,474,24,SM-G925I,Nougat - 7,Samsung
803,985,807,26,SM-N950F,Oreo - 8,Samsung
157,11461,167,24,SM-G925F,Nougat - 7,Samsung
807,3,811,26,FIG-LX3,Oreo - 8,Huawei
809,1,813,27,SM-J530G,Oreo - 8,Samsung
813,71,817,26,ANE-LX3,Oreo - 8,Huawei
814,55,818,27,SM-G610M,Oreo - 8,Samsung
815,463,819,26,FIG-LX3,Oreo - 8,Huawei
816,2339,820,26,ATU-LX3,Oreo - 8,Huawei
794,4682,798,23,SM-G532M,Marshmallow - 6,Samsung
818,450,822,26,SM-A520F,Oreo - 8,Samsung
820,49,824,27,SM-J730GM,Oreo - 8,Samsung
248,9438,257,23,MYA-L23,Marshmallow - 6,Huawei
824,193,828,26,BLA-A09,Oreo - 8,Huawei
825,2534,829,21,ALE-L23,Lollipop - 5,Huawei
826,6242,830,22,SM-J111M,Lollipop - 5,Samsung
828,16,831,26,ATU-LX3,Oreo - 8,Huawei
153,6487,163,24,TRT-L53,Nougat - 7,Huawei
363,6356,372,25,SM-J510MN,Nougat - 7,Samsung
832,652,835,22,SM-J320M,Lollipop - 5,Samsung
299,3072,308,25,SM-J510MN,Nougat - 7,Samsung
912,3749,915,23,SM-J700M,Marshmallow - 6,Samsung
835,1573,838,26,SM-J600G,Oreo - 8,Samsung
836,158,839,26,ANE-LX3,Oreo - 8,Huawei
837,8,840,26,SM-J400M,Oreo - 8,Samsung
838,1,841,27,SM-G610M,Oreo - 8,Samsung
628,1814,635,24,SM-G570M,Nougat - 7,Samsung
285,8236,294,23,EVA-L09,Marshmallow - 6,Huawei
585,7527,594,23,MYA-L23,Marshmallow - 6,Huawei
733,10254,738,24,SM-J730GM,Nougat - 7,Samsung
300,5497,309,24,SM-G920I,Nougat - 7,Samsung
898,1603,901,21,SM-G900V,Lollipop - 5,Samsung
900,20,903,27,SM-J730G,Oreo - 8,Samsung
353,25666,362,24,HUAWEI VNS-L23,Nougat - 7,Huawei
910,2832,913,26,SM-J600G,Oreo - 8,Samsung
911,1720,914,26,ANE-LX3,Oreo - 8,Huawei
587,6762,596,23,SM-J106B,Marshmallow - 6,Samsung
765,16495,770,23,CRO-L23,Marshmallow - 6,Huawei
916,4,919,26,SM-G570M,Oreo - 8,Samsung
918,10,921,26,SM-J810M,Oreo - 8,Samsung
921,12,924,22,HUAWEI LUA-U23,Lollipop - 5,Huawei
923,222,926,26,FLA-LX3,Oreo - 8,Huawei
926,966,929,26,ANE-LX3,Oreo - 8,Huawei
927,76,930,26,FLA-LX3,Oreo - 8,Huawei
693,14364,698,23,HUAWEI VNS-L23,Marshmallow - 6,Huawei
915,5558,918,23,F3313,Marshmallow - 6,Sony
578,19418,587,24,SM-G570M,Nougat - 7,Samsung
891,4229,894,23,SM-G800H,Marshmallow - 6,Samsung
936,70,939,22,C1,Lollipop - 5,Realme
940,2520,943,22,SM-G800F,Lollipop - 5,Samsung
943,68,946,26,LDN-LX3,Oreo - 8,Huawei
946,39,949,26,SM-G570M,Oreo - 8,Samsung
947,3,950,19,SM-G316M,KitKat - 4,Samsung
949,2556,952,26,ATU-LX3,Oreo - 8,Huawei
796,10693,800,24,SM-G925F,Nougat - 7,Samsung
951,722,953,26,ANE-LX3,Oreo - 8,Huawei
326,3576,335,24,BLL-L23,Nougat - 7,Huawei
283,4603,292,25,E6603,Nougat - 7,Sony
651,6934,658,23,SM-J106B,Marshmallow - 6,Samsung
956,5,958,26,WAS-LX3,Oreo - 8,Huawei
959,15,961,27,SM-J701M,Oreo - 8,Samsung
960,1993,962,22,SM-G800F,Lollipop - 5,Samsung
896,12462,899,24,SM-N935F,Nougat - 7,Samsung
834,9410,837,23,EVA-L09,Marshmallow - 6,Huawei
963,1410,965,21,SM-G900V,Lollipop - 5,Samsung
201,5328,211,24,SM-J710MN,Nougat - 7,Samsung
966,2,968,19,SM-G316M,KitKat - 4,Samsung
967,2048,969,21,ALE-L23,Lollipop - 5,Huawei
589,12694,598,23,MYA-L23,Marshmallow - 6,Huawei
191,7117,201,24,Lenovo K33b36,Nougat - 7,Lenovo
780,8350,785,24,verykools5702,Nougat - 7,Hipercell
833,26436,836,25,SM-J250M,Nougat - 7,Samsung
172,2865,182,25,SM-J510MN,Nougat - 7,Samsung
817,31703,821,23,HUAWEI VNS-L53,Marshmallow - 6,Huawei
728,2794,733,25,SM-J510MN,Nougat - 7,Samsung
764,1950,769,25,SM-J250M,Nougat - 7,Samsung
362,6408,371,25,H3321,Nougat - 7,Sony
732,6515,737,24,SM-G920I,Nougat - 7,Samsung
308,11068,317,24,SM-G610M,Nougat - 7,Samsung
987,754,987,26,ANE-LX3,Oreo - 8,Huawei
